data;
param m := 5;
param n := 100;
param c := 
    1 1 36
    1 2 46
    1 3 34
    1 4 25
    1 5 29
    1 6 17
    1 7 15
    1 8 29
    1 9 38
    1 10 50
    1 11 39
    1 12 50
    1 13 37
    1 14 39
    1 15 25
    1 16 13
    1 17 11
    1 18 11
    1 19 32
    1 20 50
    1 21 23
    1 22 44
    1 23 15
    1 24 25
    1 25 42
    1 26 13
    1 27 41
    1 28 31
    1 29 16
    1 30 44
    1 31 49
    1 32 25
    1 33 31
    1 34 14
    1 35 45
    1 36 44
    1 37 36
    1 38 50
    1 39 49
    1 40 30
    1 41 15
    1 42 22
    1 43 31
    1 44 45
    1 45 40
    1 46 41
    1 47 22
    1 48 34
    1 49 13
    1 50 26
    1 51 14
    1 52 34
    1 53 31
    1 54 22
    1 55 47
    1 56 37
    1 57 42
    1 58 47
    1 59 42
    1 60 24
    1 61 32
    1 62 25
    1 63 41
    1 64 40
    1 65 35
    1 66 20
    1 67 43
    1 68 10
    1 69 29
    1 70 28
    1 71 30
    1 72 23
    1 73 20
    1 74 28
    1 75 26
    1 76 47
    1 77 46
    1 78 30
    1 79 18
    1 80 47
    1 81 17
    1 82 17
    1 83 40
    1 84 45
    1 85 43
    1 86 44
    1 87 48
    1 88 24
    1 89 48
    1 90 23
    1 91 38
    1 92 45
    1 93 27
    1 94 36
    1 95 20
    1 96 11
    1 97 26
    1 98 35
    1 99 27
    1 100 41
    2 1 12
    2 2 33
    2 3 26
    2 4 10
    2 5 32
    2 6 49
    2 7 46
    2 8 44
    2 9 41
    2 10 49
    2 11 41
    2 12 45
    2 13 43
    2 14 44
    2 15 24
    2 16 14
    2 17 17
    2 18 21
    2 19 32
    2 20 39
    2 21 25
    2 22 29
    2 23 28
    2 24 38
    2 25 38
    2 26 12
    2 27 17
    2 28 42
    2 29 22
    2 30 43
    2 31 31
    2 32 47
    2 33 15
    2 34 10
    2 35 40
    2 36 12
    2 37 39
    2 38 34
    2 39 28
    2 40 23
    2 41 35
    2 42 46
    2 43 48
    2 44 40
    2 45 29
    2 46 13
    2 47 38
    2 48 37
    2 49 14
    2 50 16
    2 51 30
    2 52 32
    2 53 20
    2 54 37
    2 55 48
    2 56 32
    2 57 48
    2 58 38
    2 59 41
    2 60 11
    2 61 49
    2 62 35
    2 63 43
    2 64 19
    2 65 10
    2 66 19
    2 67 45
    2 68 32
    2 69 28
    2 70 23
    2 71 23
    2 72 11
    2 73 23
    2 74 40
    2 75 14
    2 76 21
    2 77 44
    2 78 41
    2 79 25
    2 80 41
    2 81 40
    2 82 41
    2 83 42
    2 84 13
    2 85 45
    2 86 31
    2 87 43
    2 88 13
    2 89 20
    2 90 25
    2 91 30
    2 92 19
    2 93 10
    2 94 10
    2 95 43
    2 96 31
    2 97 35
    2 98 21
    2 99 31
    2 100 45
    3 1 34
    3 2 23
    3 3 36
    3 4 34
    3 5 21
    3 6 39
    3 7 48
    3 8 37
    3 9 34
    3 10 10
    3 11 44
    3 12 39
    3 13 41
    3 14 13
    3 15 45
    3 16 11
    3 17 35
    3 18 43
    3 19 35
    3 20 46
    3 21 27
    3 22 36
    3 23 19
    3 24 23
    3 25 21
    3 26 20
    3 27 46
    3 28 29
    3 29 29
    3 30 12
    3 31 40
    3 32 11
    3 33 14
    3 34 50
    3 35 25
    3 36 34
    3 37 32
    3 38 37
    3 39 28
    3 40 36
    3 41 35
    3 42 15
    3 43 25
    3 44 37
    3 45 30
    3 46 41
    3 47 28
    3 48 32
    3 49 48
    3 50 32
    3 51 40
    3 52 32
    3 53 40
    3 54 41
    3 55 17
    3 56 41
    3 57 34
    3 58 40
    3 59 19
    3 60 42
    3 61 36
    3 62 15
    3 63 50
    3 64 26
    3 65 49
    3 66 47
    3 67 20
    3 68 35
    3 69 39
    3 70 20
    3 71 10
    3 72 23
    3 73 42
    3 74 39
    3 75 14
    3 76 44
    3 77 44
    3 78 22
    3 79 34
    3 80 23
    3 81 26
    3 82 50
    3 83 26
    3 84 35
    3 85 15
    3 86 39
    3 87 46
    3 88 26
    3 89 48
    3 90 17
    3 91 47
    3 92 16
    3 93 44
    3 94 39
    3 95 50
    3 96 46
    3 97 21
    3 98 50
    3 99 50
    3 100 17
    4 1 10
    4 2 42
    4 3 25
    4 4 24
    4 5 16
    4 6 31
    4 7 11
    4 8 25
    4 9 21
    4 10 43
    4 11 41
    4 12 27
    4 13 38
    4 14 31
    4 15 36
    4 16 35
    4 17 14
    4 18 17
    4 19 18
    4 20 36
    4 21 25
    4 22 27
    4 23 44
    4 24 18
    4 25 24
    4 26 46
    4 27 43
    4 28 44
    4 29 21
    4 30 20
    4 31 11
    4 32 42
    4 33 20
    4 34 24
    4 35 33
    4 36 42
    4 37 41
    4 38 32
    4 39 50
    4 40 25
    4 41 47
    4 42 15
    4 43 38
    4 44 29
    4 45 32
    4 46 46
    4 47 25
    4 48 10
    4 49 42
    4 50 33
    4 51 27
    4 52 20
    4 53 11
    4 54 33
    4 55 41
    4 56 31
    4 57 11
    4 58 23
    4 59 49
    4 60 12
    4 61 20
    4 62 50
    4 63 39
    4 64 47
    4 65 45
    4 66 38
    4 67 50
    4 68 19
    4 69 45
    4 70 49
    4 71 33
    4 72 49
    4 73 25
    4 74 44
    4 75 32
    4 76 30
    4 77 42
    4 78 47
    4 79 25
    4 80 21
    4 81 45
    4 82 11
    4 83 13
    4 84 33
    4 85 17
    4 86 48
    4 87 19
    4 88 37
    4 89 27
    4 90 29
    4 91 17
    4 92 44
    4 93 34
    4 94 37
    4 95 19
    4 96 50
    4 97 43
    4 98 22
    4 99 27
    4 100 38
    5 1 39
    5 2 19
    5 3 24
    5 4 16
    5 5 50
    5 6 20
    5 7 39
    5 8 11
    5 9 26
    5 10 40
    5 11 18
    5 12 44
    5 13 37
    5 14 26
    5 15 13
    5 16 25
    5 17 16
    5 18 12
    5 19 39
    5 20 19
    5 21 31
    5 22 29
    5 23 34
    5 24 48
    5 25 42
    5 26 11
    5 27 32
    5 28 27
    5 29 39
    5 30 26
    5 31 47
    5 32 37
    5 33 39
    5 34 49
    5 35 37
    5 36 50
    5 37 33
    5 38 26
    5 39 12
    5 40 12
    5 41 26
    5 42 38
    5 43 22
    5 44 13
    5 45 11
    5 46 20
    5 47 40
    5 48 44
    5 49 25
    5 50 38
    5 51 29
    5 52 37
    5 53 11
    5 54 19
    5 55 39
    5 56 33
    5 57 27
    5 58 50
    5 59 33
    5 60 35
    5 61 40
    5 62 47
    5 63 47
    5 64 15
    5 65 23
    5 66 11
    5 67 38
    5 68 29
    5 69 36
    5 70 50
    5 71 39
    5 72 12
    5 73 47
    5 74 21
    5 75 50
    5 76 24
    5 77 29
    5 78 47
    5 79 35
    5 80 39
    5 81 25
    5 82 42
    5 83 35
    5 84 30
    5 85 19
    5 86 23
    5 87 22
    5 88 28
    5 89 16
    5 90 39
    5 91 10
    5 92 46
    5 93 37
    5 94 29
    5 95 18
    5 96 30
    5 97 16
    5 98 32
    5 99 30
    5 100 33;
param a := 
    1 1 15
    1 2 8
    1 3 11
    1 4 16
    1 5 24
    1 6 8
    1 7 19
    1 8 9
    1 9 15
    1 10 7
    1 11 6
    1 12 13
    1 13 10
    1 14 12
    1 15 25
    1 16 16
    1 17 21
    1 18 18
    1 19 21
    1 20 21
    1 21 22
    1 22 8
    1 23 18
    1 24 11
    1 25 12
    1 26 24
    1 27 15
    1 28 13
    1 29 17
    1 30 21
    1 31 24
    1 32 23
    1 33 23
    1 34 19
    1 35 20
    1 36 17
    1 37 13
    1 38 12
    1 39 9
    1 40 22
    1 41 13
    1 42 14
    1 43 25
    1 44 7
    1 45 9
    1 46 25
    1 47 20
    1 48 13
    1 49 21
    1 50 20
    1 51 25
    1 52 5
    1 53 11
    1 54 20
    1 55 10
    1 56 17
    1 57 5
    1 58 25
    1 59 11
    1 60 6
    1 61 14
    1 62 24
    1 63 17
    1 64 7
    1 65 16
    1 66 10
    1 67 15
    1 68 9
    1 69 15
    1 70 13
    1 71 23
    1 72 13
    1 73 12
    1 74 13
    1 75 5
    1 76 8
    1 77 15
    1 78 19
    1 79 7
    1 80 13
    1 81 21
    1 82 10
    1 83 12
    1 84 9
    1 85 11
    1 86 11
    1 87 23
    1 88 5
    1 89 18
    1 90 13
    1 91 19
    1 92 20
    1 93 24
    1 94 9
    1 95 22
    1 96 25
    1 97 21
    1 98 14
    1 99 19
    1 100 21
    2 1 8
    2 2 10
    2 3 7
    2 4 23
    2 5 20
    2 6 9
    2 7 7
    2 8 11
    2 9 21
    2 10 9
    2 11 16
    2 12 20
    2 13 9
    2 14 25
    2 15 10
    2 16 14
    2 17 20
    2 18 23
    2 19 23
    2 20 25
    2 21 13
    2 22 14
    2 23 7
    2 24 14
    2 25 9
    2 26 25
    2 27 18
    2 28 17
    2 29 10
    2 30 14
    2 31 21
    2 32 6
    2 33 15
    2 34 8
    2 35 10
    2 36 24
    2 37 17
    2 38 25
    2 39 15
    2 40 21
    2 41 20
    2 42 12
    2 43 15
    2 44 16
    2 45 7
    2 46 17
    2 47 12
    2 48 8
    2 49 21
    2 50 19
    2 51 14
    2 52 19
    2 53 7
    2 54 25
    2 55 16
    2 56 20
    2 57 17
    2 58 18
    2 59 21
    2 60 8
    2 61 11
    2 62 10
    2 63 19
    2 64 11
    2 65 16
    2 66 13
    2 67 11
    2 68 14
    2 69 16
    2 70 15
    2 71 17
    2 72 13
    2 73 7
    2 74 10
    2 75 5
    2 76 25
    2 77 7
    2 78 12
    2 79 18
    2 80 12
    2 81 16
    2 82 12
    2 83 16
    2 84 14
    2 85 8
    2 86 17
    2 87 8
    2 88 16
    2 89 11
    2 90 23
    2 91 22
    2 92 22
    2 93 23
    2 94 17
    2 95 16
    2 96 8
    2 97 18
    2 98 19
    2 99 10
    2 100 7
    3 1 22
    3 2 9
    3 3 13
    3 4 12
    3 5 22
    3 6 7
    3 7 10
    3 8 8
    3 9 15
    3 10 12
    3 11 15
    3 12 15
    3 13 12
    3 14 16
    3 15 7
    3 16 15
    3 17 17
    3 18 20
    3 19 16
    3 20 12
    3 21 21
    3 22 17
    3 23 10
    3 24 19
    3 25 16
    3 26 21
    3 27 23
    3 28 23
    3 29 6
    3 30 21
    3 31 24
    3 32 18
    3 33 8
    3 34 11
    3 35 8
    3 36 10
    3 37 22
    3 38 16
    3 39 5
    3 40 9
    3 41 5
    3 42 12
    3 43 18
    3 44 15
    3 45 16
    3 46 8
    3 47 22
    3 48 5
    3 49 5
    3 50 12
    3 51 17
    3 52 5
    3 53 18
    3 54 24
    3 55 12
    3 56 20
    3 57 13
    3 58 25
    3 59 17
    3 60 7
    3 61 9
    3 62 21
    3 63 23
    3 64 20
    3 65 5
    3 66 20
    3 67 13
    3 68 12
    3 69 9
    3 70 8
    3 71 6
    3 72 7
    3 73 8
    3 74 21
    3 75 5
    3 76 21
    3 77 17
    3 78 13
    3 79 9
    3 80 8
    3 81 17
    3 82 11
    3 83 17
    3 84 25
    3 85 12
    3 86 8
    3 87 11
    3 88 6
    3 89 8
    3 90 5
    3 91 23
    3 92 25
    3 93 18
    3 94 25
    3 95 18
    3 96 5
    3 97 12
    3 98 8
    3 99 7
    3 100 9
    4 1 6
    4 2 5
    4 3 24
    4 4 24
    4 5 24
    4 6 23
    4 7 8
    4 8 8
    4 9 6
    4 10 18
    4 11 20
    4 12 7
    4 13 8
    4 14 6
    4 15 7
    4 16 5
    4 17 21
    4 18 25
    4 19 5
    4 20 18
    4 21 7
    4 22 13
    4 23 11
    4 24 5
    4 25 23
    4 26 20
    4 27 15
    4 28 8
    4 29 21
    4 30 23
    4 31 15
    4 32 23
    4 33 20
    4 34 9
    4 35 6
    4 36 17
    4 37 23
    4 38 15
    4 39 19
    4 40 25
    4 41 17
    4 42 15
    4 43 17
    4 44 23
    4 45 5
    4 46 23
    4 47 7
    4 48 15
    4 49 17
    4 50 5
    4 51 13
    4 52 15
    4 53 9
    4 54 15
    4 55 21
    4 56 12
    4 57 19
    4 58 24
    4 59 19
    4 60 19
    4 61 13
    4 62 5
    4 63 9
    4 64 24
    4 65 15
    4 66 9
    4 67 18
    4 68 7
    4 69 10
    4 70 12
    4 71 19
    4 72 5
    4 73 25
    4 74 20
    4 75 23
    4 76 18
    4 77 10
    4 78 18
    4 79 22
    4 80 9
    4 81 20
    4 82 12
    4 83 6
    4 84 15
    4 85 23
    4 86 10
    4 87 16
    4 88 15
    4 89 22
    4 90 12
    4 91 7
    4 92 9
    4 93 7
    4 94 12
    4 95 9
    4 96 14
    4 97 22
    4 98 15
    4 99 22
    4 100 13
    5 1 23
    5 2 19
    5 3 18
    5 4 17
    5 5 25
    5 6 14
    5 7 15
    5 8 12
    5 9 11
    5 10 5
    5 11 25
    5 12 14
    5 13 8
    5 14 8
    5 15 16
    5 16 17
    5 17 11
    5 18 12
    5 19 8
    5 20 14
    5 21 10
    5 22 9
    5 23 20
    5 24 9
    5 25 9
    5 26 13
    5 27 21
    5 28 22
    5 29 10
    5 30 5
    5 31 15
    5 32 12
    5 33 6
    5 34 19
    5 35 10
    5 36 12
    5 37 16
    5 38 23
    5 39 11
    5 40 6
    5 41 14
    5 42 12
    5 43 14
    5 44 22
    5 45 5
    5 46 23
    5 47 9
    5 48 18
    5 49 7
    5 50 9
    5 51 17
    5 52 18
    5 53 22
    5 54 22
    5 55 8
    5 56 9
    5 57 18
    5 58 14
    5 59 16
    5 60 6
    5 61 12
    5 62 20
    5 63 15
    5 64 21
    5 65 23
    5 66 7
    5 67 18
    5 68 16
    5 69 20
    5 70 14
    5 71 22
    5 72 21
    5 73 13
    5 74 22
    5 75 18
    5 76 18
    5 77 14
    5 78 9
    5 79 10
    5 80 15
    5 81 18
    5 82 6
    5 83 7
    5 84 6
    5 85 20
    5 86 22
    5 87 25
    5 88 18
    5 89 25
    5 90 12
    5 91 17
    5 92 18
    5 93 25
    5 94 24
    5 95 14
    5 96 17
    5 97 22
    5 98 13
    5 99 11
    5 100 22;
param b := 
    1 342
    2 342
    3 342
    4 342
    5 342;
end;
