data;
param m := 5;
param n := 100;
param c := 
    1 1 83
    1 2 93
    1 3 84
    1 4 45
    1 5 60
    1 6 54
    1 7 43
    1 8 67
    1 9 75
    1 10 43
    1 11 31
    1 12 91
    1 13 72
    1 14 15
    1 15 41
    1 16 85
    1 17 70
    1 18 99
    1 19 37
    1 20 7
    1 21 97
    1 22 107
    1 23 25
    1 24 40
    1 25 62
    1 26 86
    1 27 83
    1 28 8
    1 29 84
    1 30 88
    1 31 42
    1 32 53
    1 33 75
    1 34 56
    1 35 48
    1 36 77
    1 37 54
    1 38 28
    1 39 34
    1 40 89
    1 41 99
    1 42 57
    1 43 17
    1 44 44
    1 45 51
    1 46 31
    1 47 47
    1 48 96
    1 49 99
    1 50 24
    1 51 8
    1 52 16
    1 53 36
    1 54 83
    1 55 89
    1 56 100
    1 57 43
    1 58 100
    1 59 44
    1 60 27
    1 61 52
    1 62 17
    1 63 99
    1 64 62
    1 65 42
    1 66 38
    1 67 15
    1 68 7
    1 69 97
    1 70 47
    1 71 21
    1 72 91
    1 73 99
    1 74 95
    1 75 111
    1 76 42
    1 77 95
    1 78 30
    1 79 78
    1 80 49
    1 81 96
    1 82 75
    1 83 45
    1 84 113
    1 85 63
    1 86 48
    1 87 19
    1 88 75
    1 89 92
    1 90 88
    1 91 27
    1 92 102
    1 93 87
    1 94 15
    1 95 64
    1 96 17
    1 97 54
    1 98 47
    1 99 44
    1 100 91
    2 1 45
    2 2 60
    2 3 84
    2 4 71
    2 5 64
    2 6 24
    2 7 53
    2 8 23
    2 9 26
    2 10 29
    2 11 58
    2 12 78
    2 13 22
    2 14 64
    2 15 29
    2 16 86
    2 17 69
    2 18 72
    2 19 72
    2 20 59
    2 21 67
    2 22 83
    2 23 14
    2 24 10
    2 25 25
    2 26 47
    2 27 85
    2 28 66
    2 29 87
    2 30 79
    2 31 34
    2 32 14
    2 33 101
    2 34 103
    2 35 99
    2 36 96
    2 37 65
    2 38 90
    2 39 85
    2 40 44
    2 41 30
    2 42 80
    2 43 22
    2 44 87
    2 45 25
    2 46 39
    2 47 3
    2 48 97
    2 49 104
    2 50 22
    2 51 92
    2 52 90
    2 53 10
    2 54 52
    2 55 87
    2 56 119
    2 57 62
    2 58 13
    2 59 114
    2 60 70
    2 61 77
    2 62 86
    2 63 92
    2 64 113
    2 65 45
    2 66 47
    2 67 71
    2 68 44
    2 69 74
    2 70 26
    2 71 91
    2 72 49
    2 73 35
    2 74 65
    2 75 38
    2 76 95
    2 77 12
    2 78 33
    2 79 92
    2 80 80
    2 81 82
    2 82 111
    2 83 77
    2 84 86
    2 85 66
    2 86 60
    2 87 112
    2 88 95
    2 89 18
    2 90 99
    2 91 102
    2 92 24
    2 93 23
    2 94 96
    2 95 42
    2 96 78
    2 97 40
    2 98 74
    2 99 81
    2 100 87
    3 1 104
    3 2 99
    3 3 77
    3 4 57
    3 5 32
    3 6 104
    3 7 84
    3 8 11
    3 9 13
    3 10 60
    3 11 41
    3 12 24
    3 13 58
    3 14 51
    3 15 34
    3 16 97
    3 17 40
    3 18 98
    3 19 18
    3 20 110
    3 21 74
    3 22 112
    3 23 47
    3 24 74
    3 25 28
    3 26 62
    3 27 95
    3 28 72
    3 29 117
    3 30 42
    3 31 78
    3 32 31
    3 33 35
    3 34 28
    3 35 15
    3 36 60
    3 37 113
    3 38 23
    3 39 35
    3 40 79
    3 41 83
    3 42 62
    3 43 24
    3 44 25
    3 45 52
    3 46 84
    3 47 33
    3 48 43
    3 49 42
    3 50 31
    3 51 116
    3 52 51
    3 53 14
    3 54 42
    3 55 49
    3 56 98
    3 57 57
    3 58 53
    3 59 20
    3 60 114
    3 61 82
    3 62 98
    3 63 70
    3 64 31
    3 65 65
    3 66 46
    3 67 56
    3 68 81
    3 69 32
    3 70 85
    3 71 92
    3 72 14
    3 73 56
    3 74 74
    3 75 52
    3 76 76
    3 77 63
    3 78 22
    3 79 83
    3 80 95
    3 81 82
    3 82 99
    3 83 58
    3 84 80
    3 85 3
    3 86 82
    3 87 108
    3 88 89
    3 89 94
    3 90 32
    3 91 93
    3 92 6
    3 93 51
    3 94 22
    3 95 50
    3 96 18
    3 97 38
    3 98 97
    3 99 55
    3 100 74
    4 1 90
    4 2 81
    4 3 96
    4 4 41
    4 5 92
    4 6 63
    4 7 99
    4 8 22
    4 9 95
    4 10 55
    4 11 55
    4 12 41
    4 13 55
    4 14 93
    4 15 81
    4 16 86
    4 17 13
    4 18 87
    4 19 46
    4 20 109
    4 21 91
    4 22 91
    4 23 111
    4 24 13
    4 25 35
    4 26 28
    4 27 51
    4 28 53
    4 29 59
    4 30 78
    4 31 27
    4 32 32
    4 33 45
    4 34 18
    4 35 74
    4 36 82
    4 37 8
    4 38 50
    4 39 85
    4 40 18
    4 41 56
    4 42 80
    4 43 29
    4 44 78
    4 45 15
    4 46 75
    4 47 83
    4 48 79
    4 49 94
    4 50 72
    4 51 29
    4 52 34
    4 53 18
    4 54 60
    4 55 30
    4 56 67
    4 57 73
    4 58 59
    4 59 92
    4 60 30
    4 61 55
    4 62 21
    4 63 54
    4 64 93
    4 65 100
    4 66 76
    4 67 73
    4 68 90
    4 69 50
    4 70 88
    4 71 28
    4 72 35
    4 73 12
    4 74 29
    4 75 21
    4 76 97
    4 77 83
    4 78 23
    4 79 25
    4 80 31
    4 81 80
    4 82 81
    4 83 9
    4 84 75
    4 85 12
    4 86 75
    4 87 92
    4 88 113
    4 89 24
    4 90 77
    4 91 49
    4 92 77
    4 93 76
    4 94 45
    4 95 56
    4 96 9
    4 97 41
    4 98 85
    4 99 61
    4 100 88
