data;
param m := 10;
param n := 100;
param c :=
    1 1 18
    1 2 12
    1 3 33
    1 4 10
    1 5 43
    1 6 35
    1 7 44
    1 8 50
    1 9 50
    1 10 26
    1 11 22
    1 12 13
    1 13 31
    1 14 30
    1 15 31
    1 16 24
    1 17 32
    1 18 17
    1 19 28
    1 20 47
    1 21 20
    1 22 28
    1 23 48
    1 24 41
    1 25 13
    1 26 20
    1 27 37
    1 28 22
    1 29 42
    1 30 23
    1 31 21
    1 32 28
    1 33 18
    1 34 44
    1 35 47
    1 36 12
    1 37 47
    1 38 23
    1 39 38
    1 40 28
    1 41 27
    1 42 25
    1 43 17
    1 44 21
    1 45 35
    1 46 37
    1 47 21
    1 48 25
    1 49 31
    1 50 42
    1 51 29
    1 52 21
    1 53 13
    1 54 11
    1 55 21
    1 56 48
    1 57 46
    1 58 13
    1 59 27
    1 60 42
    1 61 38
    1 62 40
    1 63 35
    1 64 23
    1 65 27
    1 66 24
    1 67 49
    1 68 33
    1 69 38
    1 70 14
    1 71 14
    1 72 27
    1 73 38
    1 74 15
    1 75 34
    1 76 21
    1 77 10
    1 78 26
    1 79 39
    1 80 13
    1 81 36
    1 82 20
    1 83 49
    1 84 10
    1 85 36
    1 86 42
    1 87 21
    1 88 12
    1 89 31
    1 90 39
    1 91 43
    1 92 39
    1 93 20
    1 94 15
    1 95 43
    1 96 49
    1 97 21
    1 98 31
    1 99 20
    1 100 37
    2 1 19
    2 2 40
    2 3 43
    2 4 50
    2 5 17
    2 6 18
    2 7 33
    2 8 30
    2 9 16
    2 10 44
    2 11 24
    2 12 35
    2 13 12
    2 14 24
    2 15 15
    2 16 28
    2 17 30
    2 18 12
    2 19 15
    2 20 15
    2 21 39
    2 22 11
    2 23 11
    2 24 19
    2 25 47
    2 26 41
    2 27 22
    2 28 50
    2 29 41
    2 30 50
    2 31 41
    2 32 49
    2 33 37
    2 34 15
    2 35 25
    2 36 15
    2 37 48
    2 38 39
    2 39 30
    2 40 41
    2 41 34
    2 42 24
    2 43 34
    2 44 15
    2 45 33
    2 46 34
    2 47 35
    2 48 28
    2 49 26
    2 50 27
    2 51 43
    2 52 17
    2 53 40
    2 54 33
    2 55 37
    2 56 48
    2 57 24
    2 58 14
    2 59 28
    2 60 12
    2 61 29
    2 62 14
    2 63 40
    2 64 33
    2 65 21
    2 66 29
    2 67 17
    2 68 46
    2 69 32
    2 70 36
    2 71 15
    2 72 28
    2 73 50
    2 74 31
    2 75 39
    2 76 39
    2 77 33
    2 78 17
    2 79 23
    2 80 24
    2 81 14
    2 82 36
    2 83 15
    2 84 17
    2 85 32
    2 86 34
    2 87 35
    2 88 44
    2 89 18
    2 90 46
    2 91 25
    2 92 41
    2 93 33
    2 94 49
    2 95 43
    2 96 10
    2 97 25
    2 98 15
    2 99 30
    2 100 17
    3 1 18
    3 2 33
    3 3 30
    3 4 22
    3 5 13
    3 6 17
    3 7 42
    3 8 28
    3 9 11
    3 10 12
    3 11 32
    3 12 47
    3 13 32
    3 14 39
    3 15 41
    3 16 12
    3 17 34
    3 18 14
    3 19 14
    3 20 30
    3 21 23
    3 22 10
    3 23 15
    3 24 35
    3 25 44
    3 26 24
    3 27 48
    3 28 24
    3 29 27
    3 30 40
    3 31 26
    3 32 47
    3 33 40
    3 34 46
    3 35 12
    3 36 34
    3 37 39
    3 38 26
    3 39 40
    3 40 26
    3 41 30
    3 42 46
    3 43 47
    3 44 27
    3 45 37
    3 46 45
    3 47 19
    3 48 39
    3 49 10
    3 50 42
    3 51 40
    3 52 48
    3 53 32
    3 54 36
    3 55 31
    3 56 17
    3 57 35
    3 58 41
    3 59 25
    3 60 10
    3 61 50
    3 62 13
    3 63 44
    3 64 10
    3 65 31
    3 66 36
    3 67 33
    3 68 13
    3 69 44
    3 70 25
    3 71 23
    3 72 31
    3 73 17
    3 74 11
    3 75 27
    3 76 33
    3 77 34
    3 78 31
    3 79 46
    3 80 11
    3 81 28
    3 82 14
    3 83 28
    3 84 33
    3 85 45
    3 86 16
    3 87 21
    3 88 48
    3 89 47
    3 90 29
    3 91 44
    3 92 10
    3 93 35
    3 94 20
    3 95 34
    3 96 24
    3 97 31
    3 98 36
    3 99 15
    3 100 48
    4 1 28
    4 2 34
    4 3 17
    4 4 43
    4 5 41
    4 6 34
    4 7 25
    4 8 34
    4 9 29
    4 10 22
    4 11 49
    4 12 45
    4 13 19
    4 14 18
    4 15 31
    4 16 25
    4 17 25
    4 18 14
    4 19 48
    4 20 23
    4 21 19
    4 22 27
    4 23 20
    4 24 41
    4 25 14
    4 26 29
    4 27 22
    4 28 39
    4 29 23
    4 30 24
    4 31 17
    4 32 44
    4 33 38
    4 34 41
    4 35 42
    4 36 20
    4 37 37
    4 38 26
    4 39 27
    4 40 14
    4 41 33
    4 42 15
    4 43 29
    4 44 11
    4 45 17
    4 46 48
    4 47 33
    4 48 40
    4 49 18
    4 50 22
    4 51 45
    4 52 44
    4 53 41
    4 54 20
    4 55 50
    4 56 15
    4 57 19
    4 58 19
    4 59 26
    4 60 47
    4 61 14
    4 62 12
    4 63 31
    4 64 48
    4 65 41
    4 66 42
    4 67 27
    4 68 39
    4 69 43
    4 70 48
    4 71 33
    4 72 20
    4 73 20
    4 74 13
    4 75 23
    4 76 22
    4 77 42
    4 78 46
    4 79 32
    4 80 32
    4 81 36
    4 82 40
    4 83 22
    4 84 43
    4 85 18
    4 86 26
    4 87 39
    4 88 31
    4 89 47
    4 90 20
    4 91 20
    4 92 40
    4 93 36
    4 94 36
    4 95 22
    4 96 44
    4 97 50
    4 98 43
    4 99 19
    4 100 14
    5 1 40
    5 2 31
    5 3 17
    5 4 36
    5 5 50
    5 6 28
    5 7 20
    5 8 27
    5 9 15
    5 10 25
    5 11 42
    5 12 15
    5 13 11
    5 14 39
    5 15 22
    5 16 36
    5 17 48
    5 18 48
    5 19 28
    5 20 41
    5 21 16
    5 22 26
    5 23 49
    5 24 47
    5 25 21
    5 26 44
    5 27 50
    5 28 34
    5 29 39
    5 30 16
    5 31 19
    5 32 21
    5 33 32
    5 34 12
    5 35 48
    5 36 24
    5 37 23
    5 38 41
    5 39 44
    5 40 15
    5 41 45
    5 42 26
    5 43 48
    5 44 21
    5 45 44
    5 46 35
    5 47 43
    5 48 37
    5 49 45
    5 50 39
    5 51 32
    5 52 15
    5 53 12
    5 54 45
    5 55 33
    5 56 16
    5 57 49
    5 58 49
    5 59 26
    5 60 42
    5 61 31
    5 62 25
    5 63 20
    5 64 12
    5 65 10
    5 66 20
    5 67 46
    5 68 46
    5 69 46
    5 70 41
    5 71 30
    5 72 14
    5 73 18
    5 74 40
    5 75 10
    5 76 22
    5 77 33
    5 78 17
    5 79 33
    5 80 17
    5 81 30
    5 82 21
    5 83 40
    5 84 27
    5 85 42
    5 86 50
    5 87 47
    5 88 14
    5 89 19
    5 90 16
    5 91 39
    5 92 26
    5 93 48
    5 94 22
    5 95 49
    5 96 18
    5 97 27
    5 98 32
    5 99 25
    5 100 22
    6 1 27
    6 2 28
    6 3 30
    6 4 10
    6 5 10
    6 6 43
    6 7 22
    6 8 48
    6 9 47
    6 10 21
    6 11 17
    6 12 30
    6 13 49
    6 14 46
    6 15 12
    6 16 45
    6 17 37
    6 18 23
    6 19 37
    6 20 27
    6 21 20
    6 22 19
    6 23 29
    6 24 48
    6 25 36
    6 26 46
    6 27 46
    6 28 31
    6 29 38
    6 30 10
    6 31 17
    6 32 10
    6 33 42
    6 34 49
