data;
param m := 20;
param n := 200;
param c := 
    1 1 41
    1 2 30
    1 3 19
    1 4 32
    1 5 27
    1 6 16
    1 7 32
    1 8 16
    1 9 16
    1 10 25
    1 11 20
    1 12 31
    1 13 44
    1 14 38
    1 15 38
    1 16 13
    1 17 19
    1 18 20
    1 19 26
    1 20 19
    1 21 39
    1 22 26
    1 23 19
    1 24 46
    1 25 47
    1 26 40
    1 27 40
    1 28 31
    1 29 36
    1 30 31
    1 31 19
    1 32 42
    1 33 31
    1 34 33
    1 35 47
    1 36 48
    1 37 38
    1 38 36
    1 39 15
    1 40 26
    1 41 37
    1 42 45
    1 43 48
    1 44 33
    1 45 14
    1 46 49
    1 47 38
    1 48 10
    1 49 28
    1 50 19
    1 51 26
    1 52 38
    1 53 13
    1 54 22
    1 55 23
    1 56 38
    1 57 13
    1 58 40
    1 59 15
    1 60 31
    1 61 16
    1 62 13
    1 63 48
    1 64 25
    1 65 46
    1 66 45
    1 67 49
    1 68 30
    1 69 44
    1 70 10
    1 71 12
    1 72 40
    1 73 35
    1 74 14
    1 75 21
    1 76 40
    1 77 35
    1 78 47
    1 79 24
    1 80 48
    1 81 18
    1 82 42
    1 83 31
    1 84 19
    1 85 28
    1 86 20
    1 87 26
    1 88 23
    1 89 46
    1 90 26
    1 91 25
    1 92 47
    1 93 31
    1 94 28
    1 95 16
    1 96 50
    1 97 36
    1 98 10
    1 99 17
    1 100 35
    1 101 26
    1 102 24
    1 103 25
    1 104 13
    1 105 12
    1 106 32
    1 107 41
    1 108 49
    1 109 34
    1 110 24
    1 111 43
    1 112 15
    1 113 34
    1 114 48
    1 115 37
    1 116 10
    1 117 28
    1 118 26
    1 119 28
    1 120 18
    1 121 17
    1 122 50
    1 123 35
    1 124 46
    1 125 30
    1 126 50
    1 127 26
    1 128 47
    1 129 16
    1 130 25
    1 131 36
    1 132 20
    1 133 13
    1 134 50
    1 135 48
    1 136 26
    1 137 36
    1 138 24
    1 139 19
    1 140 36
    1 141 24
    1 142 19
    1 143 11
    1 144 47
    1 145 22
    1 146 25
    1 147 16
    1 148 36
    1 149 42
    1 150 17
    1 151 21
    1 152 40
    1 153 27
    1 154 32
    1 155 27
    1 156 12
    1 157 49
    1 158 22
    1 159 14
    1 160 28
    1 161 27
    1 162 12
    1 163 45
    1 164 40
    1 165 34
    1 166 26
    1 167 30
    1 168 32
    1 169 35
    1 170 27
    1 171 45
    1 172 36
    1 173 22
    1 174 40
    1 175 44
    1 176 33
    1 177 33
    1 178 33
    1 179 34
    1 180 21
    1 181 22
    1 182 19
    1 183 31
    1 184 22
    1 185 36
    1 186 44
    1 187 33
    1 188 31
    1 189 44
    1 190 18
    1 191 30
    1 192 44
    1 193 49
    1 194 45
    1 195 35
    1 196 49
    1 197 45
    1 198 24
    1 199 34
    1 200 28
    2 1 42
    2 2 24
    2 3 17
    2 4 21
    2 5 48
    2 6 23
    2 7 46
    2 8 22
    2 9 20
    2 10 37
    2 11 10
    2 12 28
    2 13 44
    2 14 25
    2 15 36
    2 16 21
    2 17 29
    2 18 22
    2 19 22
    2 20 44
    2 21 18
    2 22 38
    2 23 36
    2 24 22
    2 25 49
    2 26 22
    2 27 13
    2 28 17
    2 29 41
    2 30 41
    2 31 37
    2 32 46
    2 33 35
    2 34 30
    2 35 10
    2 36 25
    2 37 46
    2 38 34
    2 39 37
    2 40 24
    2 41 43
    2 42 33
    2 43 38
    2 44 19
    2 45 28
    2 46 38
    2 47 11
    2 48 50
    2 49 15
    2 50 16
    2 51 15
    2 52 13
    2 53 18
    2 54 11
    2 55 29
    2 56 11
    2 57 17
    2 58 36
    2 59 39
    2 60 18
    2 61 26
    2 62 45
    2 63 50
    2 64 39
    2 65 14
    2 66 45
    2 67 35
    2 68 17
    2 69 42
    2 70 28
    2 71 32
    2 72 46
    2 73 22
    2 74 46
    2 75 23
    2 76 15
    2 77 17
    2 78 29
    2 79 45
    2 80 38
    2 81 27
    2 82 22
    2 83 48
    2 84 39
    2 85 12
    2 86 38
    2 87 40
    2 88 18
    2 89 47
    2 90 43
    2 91 26
    2 92 21
    2 93 45
    2 94 11
    2 95 35
    2 96 38
    2 97 46
    2 98 20
    2 99 30
    2 100 29
    2 101 29
    2 102 46
    2 103 37
