data;
param m := 5;
param n := 200;
param c := 
    1 1 79
    1 2 93
    1 3 86
    1 4 59
    1 5 68
    1 6 32
    1 7 50
    1 8 91
    1 9 93
    1 10 95
    1 11 22
    1 12 48
    1 13 19
    1 14 30
    1 15 92
    1 16 65
    1 17 58
    1 18 72
    1 19 15
    1 20 44
    1 21 86
    1 22 45
    1 23 19
    1 24 56
    1 25 107
    1 26 42
    1 27 77
    1 28 81
    1 29 86
    1 30 63
    1 31 87
    1 32 108
    1 33 49
    1 34 98
    1 35 59
    1 36 81
    1 37 22
    1 38 84
    1 39 95
    1 40 104
    1 41 40
    1 42 50
    1 43 39
    1 44 21
    1 45 78
    1 46 40
    1 47 90
    1 48 88
    1 49 80
    1 50 26
    1 51 25
    1 52 68
    1 53 36
    1 54 68
    1 55 84
    1 56 110
    1 57 41
    1 58 58
    1 59 83
    1 60 86
    1 61 19
    1 62 11
    1 63 38
    1 64 40
    1 65 69
    1 66 23
    1 67 45
    1 68 74
    1 69 87
    1 70 55
    1 71 40
    1 72 90
    1 73 9
    1 74 68
    1 75 38
    1 76 36
    1 77 40
    1 78 85
    1 79 92
    1 80 76
    1 81 112
    1 82 87
    1 83 80
    1 84 66
    1 85 91
    1 86 28
    1 87 28
    1 88 77
    1 89 13
    1 90 29
    1 91 82
    1 92 52
    1 93 69
    1 94 23
    1 95 96
    1 96 97
    1 97 80
    1 98 83
    1 99 80
    1 100 65
    1 101 101
    1 102 49
    1 103 61
    1 104 63
    1 105 55
    1 106 73
    1 107 72
    1 108 77
    1 109 105
    1 110 112
    1 111 61
    1 112 46
    1 113 102
    1 114 107
    1 115 78
    1 116 95
    1 117 92
    1 118 49
    1 119 80
    1 120 20
    1 121 106
    1 122 80
    1 123 90
    1 124 56
    1 125 43
    1 126 47
    1 127 79
    1 128 110
    1 129 40
    1 130 28
    1 131 57
    1 132 66
    1 133 35
    1 134 35
    1 135 61
    1 136 79
    1 137 90
    1 138 70
    1 139 33
    1 140 11
    1 141 27
    1 142 28
    1 143 32
    1 144 60
    1 145 74
    1 146 64
    1 147 103
    1 148 54
    1 149 77
    1 150 81
    1 151 105
    1 152 49
    1 153 36
    1 154 34
    1 155 109
    1 156 93
    1 157 101
    1 158 9
    1 159 39
    1 160 31
    1 161 98
    1 162 61
    1 163 75
    1 164 88
    1 165 108
    1 166 63
    1 167 43
    1 168 56
    1 169 53
    1 170 47
    1 171 20
    1 172 28
    1 173 13
    1 174 106
    1 175 51
    1 176 62
    1 177 63
    1 178 75
    1 179 54
    1 180 33
    1 181 74
    1 182 58
    1 183 76
    1 184 52
    1 185 51
    1 186 5
    1 187 56
    1 188 46
    1 189 33
    1 190 65
    1 191 38
    1 192 97
    1 193 73
    1 194 38
    1 195 92
    1 196 48
    1 197 60
    1 198 65
    1 199 55
    1 200 56
    2 1 98
    2 2 73
    2 3 46
    2 4 57
    2 5 40
    2 6 17
    2 7 20
    2 8 19
    2 9 35
    2 10 63
    2 11 43
    2 12 55
    2 13 46
    2 14 90
    2 15 82
    2 16 100
    2 17 70
    2 18 102
    2 19 22
    2 20 34
    2 21 88
    2 22 107
    2 23 74
    2 24 83
    2 25 42
    2 26 42
    2 27 56
    2 28 85
    2 29 95
    2 30 36
    2 31 44
    2 32 22
    2 33 94
    2 34 103
    2 35 17
    2 36 91
    2 37 20
    2 38 98
    2 39 89
    2 40 81
    2 41 11
    2 42 11
    2 43 35
    2 44 72
    2 45 66
    2 46 95
    2 47 44
    2 48 30
    2 49 48
    2 50 20
    2 51 28
    2 52 25
    2 53 18
    2 54 93
    2 55 112
    2 56 32
    2 57 49
    2 58 19
    2 59 103
    2 60 98
    2 61 57
    2 62 75
    2 63 86
    2 64 79
    2 65 80
    2 66 74
    2 67 32
    2 68 90
    2 69 34
    2 70 89
    2 71 103
    2 72 18
    2 73 64
    2 74 4
    2 75 24
    2 76 33
    2 77 60
    2 78 32
    2 79 53
    2 80 97
    2 81 30
    2 82 55
    2 83 89
    2 84 66
    2 85 56
    2 86 102
    2 87 17
    2 88 25
    2 89 54
    2 90 36
    2 91 49
    2 92 31
    2 93 15
    2 94 20
    2 95 30
    2 96 18
    2 97 48
    2 98 40
    2 99 80
    2 100 70
    2 101 101
    2 102 49
    2 103 61
    2 104 64
    2 105 78
    2 106 72
    2 107 19
    2 108 94
    2 109 28
    2 110 42
    2 111 76
    2 112 23
    2 113 73
    2 114 88
    2 115 52
    2 116 105
    2 117 42
    2 118 37
    2 119 61
    2 120 9
    2 121 26
    2 122 42
    2 123 80
    2 124 10
    2 125 75
    2 126 57
    2 127 17
    2 128 46
    2 129 81
    2 130 24
    2 131 107
    2 132 72
    2 133 46
    2 134 60
    2 135 112
    2 136 17
    2 137 30
    2 138 44
    2 139 83
    2 140 12
    2 141 61
    2 142 91
    2 143 71
    2 144 29
    2 145 29
    2 146 40
    2 147 76
    2 148 118
    2 149 92
    2 150 61
    2 151 49
    2 152 90
    2 153 71
    2 154 90
    2 155 12
    2 156 82
    2 157 37
    2 158 89
    2 159 23
    2 160 61
    2 161 16
    2 162 69
    2 163 67
    2 164 102
    2 165 113
    2 166 90
    2 167 97
    2 168 35
    2 169 50
    2 170 17
    2 171 8
    2 172 66
    2 173 24
    2 174 63
    2 175 89
    2 176 100
    2 177 21
    2 178 34
    2 179 32
    2 180 35
    2 181 75
    2 182 23
    2 183 81
    2 184 80
    2 185 44
    2 186 115
    2 187 53
    2 188 59
    2 189 50
    2 190 103
    2 191 91
    2 192 95
    2 193 2
    2 194 99
    2 195 66
    2 196 44
    2 197 73
    2 198 45
    2 199 92
    2 200 99
    3 1 23
    3 2 84
    3 3 23
    3 4 79
    3 5 92
    3 6 46
    3 7 110
    3 8 41
    3 9 64
    3 10 98
    3 11 107
    3 12 58
    3 13 86
    3 14 112
    3 15 87
    3 16 111
    3 17 33
    3 18 55
    3 19 89
    3 20 13
    3 21 75
    3 22 70
    3 23 45
    3 24 108
    3 25 23
    3 26 43
    3 27 28
    3 28 108
    3 29 75
    3 30 58
    3 31 85
    3 32 55
    3 33 61
    3 34 86
    3 35 25
    3 36 73
    3 37 35
    3 38 15
    3 39 52
    3 40 107
    3 41 65
    3 42 80
    3 43 14
    3 44 47
    3 45 41
    3 46 58
    3 47 111
    3 48 98
    3 49 102
    3 50 27
    3 51 34
    3 52 61
    3 53 90
    3 54 63
    3 55 73
    3 56 82
    3 57 72
    3 58 12
    3 59 26
    3 60 45
    3 61 54
    3 62 103
    3 63 74
    3 64 49
    3 65 93
    3 66 60
    3 67 85
    3 68 57
    3 69 94
    3 70 23
    3 71 22
    3 72 65
    3 73 47
    3 74 33
    3 75 89
    3 76 41
    3 77 22
    3 78 18
    3 79 109
    3 80 100
    3 81 81
    3 82 78
    3 83 116
    3 84 79
    3 85 41
    3 86 118
    3 87 20
    3 88 99
    3 89 74
    3 90 39
    3 91 65
    3 92 110
    3 93 42
    3 94 53
    3 95 73
    3 96 88
    3 97 58
    3 98 35
