data;
param m := 20;
param n := 200;
param c :=
    1 1 40
    1 2 20
    1 3 38
    1 4 108
    1 5 107
    1 6 20
    1 7 93
    1 8 33
    1 9 91
    1 10 94
    1 11 25
    1 12 75
    1 13 82
    1 14 66
    1 15 25
    1 16 98
    1 17 21
    1 18 104
    1 19 84
    1 20 41
    1 21 48
    1 22 41
    1 23 108
    1 24 99
    1 25 29
    1 26 75
    1 27 92
    1 28 11
    1 29 83
    1 30 35
    1 31 33
    1 32 96
    1 33 12
    1 34 24
    1 35 81
    1 36 106
    1 37 25
    1 38 83
    1 39 86
    1 40 30
    1 41 99
    1 42 59
    1 43 57
    1 44 26
    1 45 9
    1 46 21
    1 47 63
    1 48 79
    1 49 16
    1 50 81
    1 51 28
    1 52 109
    1 53 64
    1 54 49
    1 55 106
    1 56 95
    1 57 67
    1 58 83
    1 59 8
    1 60 107
    1 61 50
    1 62 14
    1 63 89
    1 64 27
    1 65 77
    1 66 70
    1 67 21
    1 68 92
    1 69 30
    1 70 98
    1 71 89
    1 72 110
    1 73 50
    1 74 81
    1 75 117
    1 76 32
    1 77 14
    1 78 24
    1 79 16
    1 80 87
    1 81 54
    1 82 48
    1 83 15
    1 84 27
    1 85 51
    1 86 58
    1 87 18
    1 88 94
    1 89 81
    1 90 78
    1 91 26
    1 92 55
    1 93 47
    1 94 95
    1 95 94
    1 96 24
    1 97 51
    1 98 29
    1 99 91
    1 100 88
    1 101 57
    1 102 110
    1 103 43
    1 104 37
    1 105 85
    1 106 18
    1 107 96
    1 108 29
    1 109 71
    1 110 93
    1 111 108
    1 112 9
    1 113 63
    1 114 69
    1 115 87
    1 116 58
    1 117 62
    1 118 44
    1 119 12
    1 120 58
    1 121 87
    1 122 31
    1 123 42
    1 124 29
    1 125 65
    1 126 112
    1 127 21
    1 128 74
    1 129 77
    1 130 20
    1 131 43
    1 132 20
    1 133 36
    1 134 64
    1 135 61
    1 136 81
    1 137 81
    1 138 11
    1 139 37
    1 140 111
    1 141 7
    1 142 30
    1 143 15
    1 144 14
    1 145 28
    1 146 73
    1 147 101
    1 148 88
    1 149 60
    1 150 64
    1 151 45
    1 152 99
    1 153 59
    1 154 76
    1 155 85
    1 156 107
    1 157 68
    1 158 96
    1 159 92
    1 160 67
    1 161 97
    1 162 99
    1 163 59
    1 164 57
    1 165 7
    1 166 91
    1 167 69
    1 168 32
    1 169 63
    1 170 106
    1 171 74
    1 172 96
    1 173 100
    1 174 20
    1 175 27
    1 176 74
    1 177 22
    1 178 69
    1 179 23
    1 180 108
    1 181 42
    1 182 59
    1 183 32
    1 184 9
    1 185 39
    1 186 27
    1 187 96
    1 188 49
    1 189 29
    1 190 22
    1 191 101
    1 192 96
    1 193 43
    1 194 89
    1 195 94
    1 196 87
    1 197 64
    1 198 61
    1 199 65
    1 200 44
    2 1 53
    2 2 68
    2 3 12
    2 4 27
    2 5 61
    2 6 28
    2 7 66
    2 8 40
    2 9 95
    2 10 28
    2 11 77
    2 12 108
    2 13 98
    2 14 11
    2 15 55
    2 16 102
    2 17 21
    2 18 42
    2 19 30
    2 20 58
    2 21 97
    2 22 111
    2 23 97
    2 24 95
    2 25 78
    2 26 32
    2 27 73
    2 28 85
    2 29 10
    2 30 26
    2 31 80
    2 32 12
    2 33 102
    2 34 86
    2 35 55
    2 36 4
    2 37 56
    2 38 106
    2 39 104
    2 40 52
    2 41 46
    2 42 6
    2 43 111
    2 44 21
    2 45 111
    2 46 25
    2 47 34
    2 48 95
    2 49 37
    2 50 22
    2 51 31
    2 52 78
    2 53 31
    2 54 61
    2 55 20
    2 56 23
    2 57 79
    2 58 34
    2 59 76
    2 60 66
    2 61 48
    2 62 85
    2 63 98
    2 64 116
    2 65 95
    2 66 12
    2 67 54
    2 68 99
    2 69 17
    2 70 44
    2 71 30
    2 72 27
    2 73 69
    2 74 61
    2 75 74
    2 76 48
    2 77 14
    2 78 50
    2 79 36
    2 80 68
    2 81 86
    2 82 88
    2 83 39
    2 84 17
    2 85 24
    2 86 36
    2 87 62
    2 88 61
    2 89 75
    2 90 66
    2 91 74
    2 92 87
    2 93 43
    2 94 37
    2 95 74
    2 96 33
    2 97 49
    2 98 101
    2 99 34
    2 100 95
    2 101 38
    2 102 78
    2 103 40
    2 104 107
    2 105 69
    2 106 91
    2 107 25
    2 108 86
    2 109 94
    2 110 54
    2 111 63
    2 112 63
    2 113 103
    2 114 90
    2 115 104
    2 116 45
    2 117 61
    2 118 62
    2 119 69
    2 120 49
    2 121 88
    2 122 54
    2 123 52
    2 124 89
    2 125 62
    2 126 101
    2 127 119
    2 128 50
    2 129 54
    2 130 49
    2 131 92
    2 132 66
    2 133 57
    2 134 42
    2 135 48
    2 136 35
    2 137 83
    2 138 78
    2 139 71
    2 140 95
    2 141 72
    2 142 9
    2 143 52
    2 144 64
    2 145 52
    2 146 111
    2 147 71
    2 148 52
    2 149 100
    2 150 107
    2 151 80
    2 152 54
    2 153 72
    2 154 76
    2 155 49
    2 156 37
    2 157 21
    2 158 42
    2 159 69
    2 160 93
    2 161 93
    2 162 56
    2 163 38
    2 164 25
    2 165 89
    2 166 19
    2 167 98
    2 168 59
    2 169 44
    2 170 28
    2 171 19
    2 172 21
    2 173 77
    2 174 72
    2 175 29
    2 176 19
    2 177 92
    2 178 22
    2 179 76
    2 180 37
    2 181 91
    2 182 19
    2 183 62
    2 184 63
    2 185 13
    2 186 106
    2 187 51
    2 188 74
    2 189 106
    2 190 26
    2 191 22
    2 192 27
    2 193 39
    2 194 60
    2 195 35
    2 196 48
    2 197 80
    2 198 28
    2 199 5
    2 200 27
    3 1 51
    3 2 68
    3 3 21
    3 4 51
    3 5 57
    3 6 60
    3 7 33
    3 8 36
    3 9 37
    3 10 97
    3 11 67
    3 12 94
    3 13 17
    3 14 97
    3 15 101
    3 16 27
    3 17 52
    3 18 43
    3 19 21
    3 20 69
    3 21 119
    3 22 102
    3 23 62
    3 24 66
    3 25 81
    3 26 49
    3 27 16
    3 28 54
    3 29 49
    3 30 76
    3 31 79
    3 32 50
    3 33 103
    3 34 27
    3 35 108
    3 36 14
    3 37 5
    3 38 51
    3 39 58
    3 40 48
    3 41 28
    3 42 72
    3 43 108
    3 44 104
    3 45 72
    3 46 111
    3 47 90
    3 48 39
    3 49 39
    3 50 88
    3 51 14
    3 52 73
    3 53 52
    3 54 102
    3 55 46
    3 56 81
    3 57 59
    3 58 30
    3 59 71
    3 60 103
    3 61 108
    3 62 46
    3 63 61
    3 64 43
    3 65 6
    3 66 38
    3 67 59
    3 68 101
    3 69 56
    3 70 91
    3 71 66
    3 72 70
    3 73 100
    3 74 43
    3 75 47
    3 76 88
    3 77 26
    3 78 102
    3 79 18
    3 80 72
    3 81 98
    3 82 43
    3 83 95
    3 84 57
    3 85 52
    3 86 78
    3 87 47
    3 88 109
    3 89 104
    3 90 108
    3 91 100
    3 92 41
    3 93 40
    3 94 33
    3 95 44
    3 96 102
    3 97 21
    3 98 34
    3 99 106
    3 100 48
    3 101 87
    3 102 82
    3 103 56
    3 104 60
    3 105 44
    3 106 11
    3 107 36
    3 108 34
    3 109 55
    3 110 110
    3 111 45
    3 112 105
    3 113 87
    3 114 36
    3 115 66
    3 116 79
    3 117 38
    3 118 47
    3 119 48
    3 120 49
    3 121 81
    3 122 37
    3 123 72
    3 124 32
    3 125 40
    3 126 44
    3 127 58
    3 128 25
    3 129 61
    3 130 35
    3 131 17
    3 132 28
    3 133 74
    3 134 115
    3 135 16
    3 136 15
    3 137 38
    3 138 59
    3 139 51
    3 140 67
    3 141 15
    3 142 38
    3 143 83
    3 144 40
    3 145 96
    3 146 94
    3 147 17
    3 148 94
    3 149 18
    3 150 28
    3 151 24
    3 152 99
    3 153 108
    3 154 33
    3 155 35
    3 156 3
    3 157 100
    3 158 15
    3 159 19
    3 160 75
    3 161 31
    3 162 39
    3 163 48
    3 164 25
    3 165 24
    3 166 35
    3 167 30
    3 168 118
    3 169 40
    3 170 35
    3 171 22
    3 172 78
    3 173 70
    3 174 71
    3 175 20
    3 176 35
    3 177 63
    3 178 89
    3 179 73
    3 180 26
    3 181 99
    3 182 82
    3 183 4
    3 184 106
    3 185 94
    3 186 67
    3 187 27
    3 188 70
    3 189 99
    3 190 64
    3 191 37
    3 192 95
    3 193 50
    3 194 109
    3 195 72
    3 196 97
    3 197 77
    3 198 20
    3 199 92
    3 200 53
    4 1 31
    4 2 42
    4 3 95
    4 4 98
    4 5 17
    4 6 80
    4 7 90
    4 8 1
    4 9 23
    4 10 74
    4 11 49
    4 12 116
    4 13 54
    4 14 93
    4 15 10
    4 16 53
    4 17 61
    4 18 104
    4 19 75
    4 20 63
    4 21 52
    4 22 50
    4 23 21
    4 24 51
    4 25 87
    4 26 87
    4 27 70
    4 28 51
    4 29 25
    4 30 60
    4 31 89
    4 32 9
    4 33 73
    4 34 93
    4 35 25
    4 36 23
    4 37 47
    4 38 12
    4 39 25
    4 40 61
    4 41 67
    4 42 84
    4 43 17
    4 44 29
    4 45 50
    4 46 68
    4 47 92
    4 48 70
    4 49 26
    4 50 23
    4 51 64
    4 52 60
    4 53 65
    4 54 33
    4 55 24
    4 56 54
    4 57 65
    4 58 84
    4 59 79
    4 60 51
    4 61 72
    4 62 76
    4 63 80
    4 64 14
    4 65 16
    4 66 80
    4 67 102
    4 68 90
    4 69 63
    4 70 63
    4 71 87
    4 72 47
    4 73 89
    4 74 19
    4 75 38
    4 76 74
    4 77 90
    4 78 55
    4 79 100
    4 80 107
    4 81 32
    4 82 89
    4 83 68
    4 84 117
    4 85 57
    4 86 19
    4 87 15
    4 88 12
    4 89 40
    4 90 47
    4 91 85
    4 92 69
    4 93 15
    4 94 47
    4 95 78
    4 96 41
    4 97 43
    4 98 60
    4 99 106
    4 100 98
    4 101 58
    4 102 67
    4 103 12
    4 104 12
    4 105 24
    4 106 100
    4 107 85
    4 108 42
    4 109 28
    4 110 25
    4 111 10
    4 112 57
    4 113 25
    4 114 67
    4 115 96
    4 116 17
    4 117 78
    4 118 95
    4 119 96
    4 120 82
    4 121 80
    4 122 10
    4 123 50
    4 124 94
    4 125 44
    4 126 15
    4 127 67
    4 128 25
    4 129 72
    4 130 69
    4 131 30
    4 132 111
    4 133 41
    4 134 62
    4 135 48
    4 136 51
    4 137 75
    4 138 89
    4 139 66
    4 140 105
    4 141 109
    4 142 52
    4 143 92
    4 144 56
    4 145 11
    4 146 46
    4 147 24
    4 148 44
    4 149 14
    4 150 70
    4 151 23
    4 152 59
    4 153 25
    4 154 89
    4 155 28
    4 156 43
    4 157 100
    4 158 45
    4 159 85
    4 160 20
    4 161 28
    4 162 28
    4 163 21
    4 164 13
    4 165 54
    4 166 50
    4 167 56
    4 168 62
    4 169 37
    4 170 33
    4 171 101
    4 172 37
    4 173 49
    4 174 93
    4 175 92
    4 176 43
    4 177 98
    4 178 79
    4 179 27
    4 180 63
    4 181 20
    4 182 55
    4 183 80
    4 184 22
    4 185 47
    4 186 57
    4 187 62
    4 188 90
    4 189 78
    4 190 106
    4 191 60
    4 192 68
    4 193 96
    4 194 19
    4 195 98
    4 196 72
    4 197 106
    4 198 113
    4 199 67
    4 200 43
    5 1 22
    5 2 61
    5 3 100
    5 4 80
    5 5 41
    5 6 66
    5 7 105
    5 8 58
    5 9 24
    5 10 41
    5 11 32
    5 12 84
    5 13 86
    5 14 86
    5 15 46
    5 16 74
    5 17 94
    5 18 76
    5 19 92
    5 20 36
    5 21 104
    5 22 26
    5 23 58
    5 24 70
    5 25 28
    5 26 29
    5 27 13
    5 28 17
    5 29 24
    5 30 96
    5 31 87
    5 32 39
    5 33 9
    5 34 83
    5 35 88
    5 36 111
    5 37 47
    5 38 72
    5 39 58
    5 40 45
    5 41 37
    5 42 66
    5 43 92
    5 44 76
    5 45 111
    5 46 100
    5 47 73
    5 48 35
    5 49 62
    5 50 108
    5 51 68
    5 52 84
    5 53 39
    5 54 59
    5 55 7
    5 56 72
    5 57 28
    5 58 104
    5 59 27
    5 60 59
    5 61 66
    5 62 49
    5 63 94
    5 64 35
    5 65 75
    5 66 52
    5 67 84
    5 68 14
    5 69 25
    5 70 115
    5 71 13
    5 72 29
    5 73 80
    5 74 15
    5 75 100
    5 76 14
    5 77 50
    5 78 95
    5 79 67
    5 80 16
    5 81 102
    5 82 79
    5 83 33
    5 84 15
    5 85 15
    5 86 59
    5 87 61
    5 88 62
    5 89 78
    5 90 76
    5 91 60
    5 92 77
    5 93 80
    5 94 102
    5 95 16
    5 96 78
    5 97 85
    5 98 65
    5 99 93
    5 100 116
    5 101 60
    5 102 22
    5 103 64
    5 104 59
    5 105 69
    5 106 108
    5 107 18
    5 108 35
    5 109 52
    5 110 53
    5 111 81
    5 112 103
    5 113 17
    5 114 53
    5 115 102
    5 116 78
    5 117 76
    5 118 44
    5 119 54
    5 120 65
    5 121 45
    5 122 57
    5 123 57
    5 124 84
    5 125 32
    5 126 47
    5 127 79
    5 128 78
    5 129 78
    5 130 39
    5 131 59
    5 132 102
    5 133 55
    5 134 81
    5 135 35
    5 136 85
    5 137 108
    5 138 31
    5 139 80
    5 140 75
    5 141 12
    5 142 100
    5 143 86
    5 144 69
    5 145 82
    5 146 43
    5 147 45
    5 148 41
    5 149 99
    5 150 34
    5 151 42
    5 152 117
    5 153 76
    5 154 23
    5 155 82
    5 156 64
    5 157 34
    5 158 42
    5 159 58
    5 160 47
    5 161 26
    5 162 97
    5 163 78
    5 164 105
    5 165 62
    5 166 64
    5 167 85
    5 168 81
    5 169 20
    5 170 69
    5 171 114
    5 172 77
    5 173 43
    5 174 41
    5 175 43
    5 176 67
    5 177 25
    5 178 100
    5 179 21
    5 180 16
    5 181 11
    5 182 93
    5 183 49
    5 184 31
    5 185 67
